pedestrian           보행자, 도보의
eruption             (화산 등의)폭발
descendant           자손
scold                꾸짖다.
immortal             불사의, 불멸의
nutrition            영양, 음식물
vote                 투표, 투표하다.
feminine             여자의, 여자다운
applicant            지원자
proposal             제안, 신청
exclude              제의하다.
verbal               언어의, 구두의
missing              행방불명의
promising            유망한
improve              개선하다. 진보하다.
prescribe            규정하다. 처방하다.
selfish              이기적인
starvation           아사, 기아
moisture             습기
fee                  요금, 수수료, 보수
semester             (2학기제의) 학기
despair              절망, 절망하다.
labor                노동, 열심히 일하다.
monthly              월간의, 매달의
shortage             부족
Orient               동양
posterity            자손
estate               재산, 지위
appreciate           인정하다. 평가하다. 감상하다.
property             재산, 특성
tendency             경향
industry             산업, 공업, 근면
equivalent           동등한 것, 동등한
astronaut            우주 비행사
harvest              수확하다. 수확. 추수
probability          있음직함, 가망, 확률
conceit              자부심, 자만심
vocation             천직, 직업
irrational           불합리한, 이성이 없는
executive            간부, 경영진, 실행의
satellite            위성
destination          목적지
fade                 사라지다. 바래다.
temperance           자제, 절제
gain                 얻다. 이득, 이익
comfort              위로, 편향
minority             소수파
drastic              격렬한, 철저한
scatter              흩뿌리다. 살포
wholesome            건강에 좋은, 유익한
mortal               죽을 운명의, 인간의, 인간
adolescent           청년기의, 청년기
possibility          가능성
practice             실행, 습관, 실행하다. 연습하다.
award                수여, 수여하다. 상
pessimism            비관(주의)
satire               풍자
volcano              화산
ebb                  썰물, 간조
architecture         건축, 건축물
nevertheless         그럼에도 불구하고
competition          경쟁
throng               군중, 인파, 모여들다.
intent               의도, 열중해 있는
grateful             감사하는
content              내용, 만족하는
extent               정도, 범위
description          기술, 묘사
fancy                공상, 상상, 상상하다.
guarantee            보증, 보증하다. 확언하다.
alter                바꾸다. 변경하다.
particular           특별한, 상세한, 항목, 상세
site                 부지, 위치
previous             앞의, 이전의
illustrate           설명하다. 삽화를 넣다.
vice                 악덕
survey               조사, 조사하다.
muscle               근육, 완력
protest              항의, 항의하다.
avoid                피하다.
lean                 기대다. 야윈
token                표시, 상징
extreme              극단. 극단적인, 극도의
detail               세부, 상세, 상세히 기술하다.
participate          참가하다.
circumstance         환경, 상황
compliment           칭찬, 찬사
agency               기능, 대리점
interval             간격
sensitive            건강한
purchase             사다, 구입하다. 구입
thermometer          온도계
deliberate           신중한, 고의의, 숙고하다.
instinct             본능
institute            설립하다. 학회, 연구소
procedure            진행, 절차
inferiority          열등, 하위
inevitable           피할 수 없는
punctual             시간을 잘 지키는
resort               휴양지, 호소하다.
Arctic               북극의, 북극권
Antarctic            남극의, 남극권
pessimist            비관주의자
probable             있을 법한, 있음직한
pile                 퇴적하다. 더미
vertical             수직의 세로의
polite               예의 바른
maximum              최대, 최대의
audience             청중, 추종자
vacuum               진공
elementary           기본의, 초등학교의
multiple             다수의, 북합의
planet               행성
wealth               부, 재산
temperature          온도
anniversary          기념일
tidy                 단정한, 정돈된
variety              변화, 다양성
ceremony             의식, 의례
humane               인간적인
principle            주의, 원리
faint                기절하다. 졸도하다. 희미한.
spectator            구경꾼, 관객, 방관자
remark               주목, 의견, 의견을 말하다.
female               여성, 여성의
suitable             적합한, 어울리는
mischief             재난, 해악
influence            영향, 영향을 미치다.
insult               모욕, 모욕하다.
document             문서, 기록하다.
character            성격, 문자, 인물
flatter              ..에게 아첨하다.
virtue               미덕, 장점
cling                달라붙다, 집착하다.
operate              조작하다. 수술하다. 작동하다.
optimist             낙천가
raise                올리다. 모금하다. 키우다.
laboratory           실험실, 연구실
exhibit              전시하다. 보이다. 전시품
spiritual            정신적인
envelop              포장하다. 싸다.
stimulus             자극
separate             분리하다. 분리된
appetite             식욕
quantity             양
overseas             해외로
summarize            요약하다.
enclose              둘러싸다. 포위하다.
inhabitant           주민, 거주자
physical             육체의, 물질의, 물질적인
label                꼬리표, 라벨, 라벨을 붙이다.
strict               엄격한, 엄한
optimism             낙관주의
cooperate            협력하다. 합동하다.
instructive          교육적인
impartial            공평한
snob                 속물
gravitation          중력, 인력
patriotism           애국심
affluent             부유한, 풍족한
initiative           발의, 창시, 진취적 기상, 창시의
diminish             감소하다.
valuable             귀중한, 값비싼.
hospitality          환대
masculine            남성의
vogue                유행
qualification        자격, 권한
adore                숭배하다.
contemporary         현대의, 동시대의, 동시대인
erupt                (용암.화산재를) 분출하다.
domestic             국내의, 길들여진
objective            객관적인
partial              부분적인, 불공평한
appliance            전기기구
consciousness        의식, 지각
sniff                킁킁거리며 냄새 맡다. 냄새 맡음, 코웃음
priority             우선(권)
regime               정권, 통치 양식
colleague            동료
restrain             억제하다. 제지하다.
sympathize           동정하다.
commitment           위탁, 공약
sultry               무더운, 찌는 듯이 더운
prescription         처방(전)
adjourn              연기하다.
abstain              그만두다. 삼가다.
discount             할인, 할인하다.
equator              적도
murmur               속삭이다. 불평하다.
interfere            방해하다. 간섭하다.
input                입력, 투입, 입력하다.
casualty             (사고, 재해등의) 사상자
facility             쉬움, 관리, 설비
discrimination       구별, 차별
regulate             규제하다. 조절하다.
involuntary          무의식적인, 본의 아닌
install              설치하다.
repent               후회하다.
contradictory        모순된
hygiene              위생(학)
statistics           통계
coeducation          남녀공학
perpendicular        수직의
longitude            경도
sanitary             위생의, 위생적인
eption               선택(권)
surplus              여분, 나머지, 나머지의
foretell             예언하다.
pledge               서약, 맹세하다.
obstinate            고집센
surrender            항복하다.
dignity              위엄, 존엄
characteristic       특색을 이루는, 특질의, 특색, 특징
drought              가뭄, 한발
accelerate           가속하다.
forefather           선조
expel                추방하다
correct              정정하다. 고치다. 바른
literal              문자의, 글자 그대로의
distinction          구별, 특성
sympathy             동정, 공감
latitude             위도
welfare              복지, 후생
complicated          복잡한
consensus            (의견의) 일치
verse                운문, 시
declare              선언하다. 발표하다.
transition           변천, 변이
perspiration         발한, 땀, 노력
blossom              (나무의) 꽃, 개화, 꽃이 피다.
patent               특허, 특허의, 명백한
asset                재산, 자산
contagion            접촉 전염, 전염병
bureau               사무소, 안내소
skyscraper           고층건물, 마천루
eloquent             웅변의, 달변인
maternal             어머니의
consequence          결과, 중대성
corrupt              부패한, 타락한, 타락시키다.
primeval             원시의, 초기의
manual               소책자, 설명서
outskirts            교외
antipathy            반감, 혐오
indigestion          소화불량
